,names,scores,logfoldchanges,pvals,pvals_adj
95,ADT.CD268,0.10944496,0.037137695,0.9128495738178047,0.940511682115314
96,ADT.TCR.Va7.2,0.09576434,0.028777706,0.9237077386933594,0.948107565753184
97,ADT.CD66b,0.065410465,0.064405836,0.947847191862945,0.9657948228615392
98,ADT.CD3,0.04061434,-0.20319384,0.9676033509927043,0.97477078322228
99,"RatIgG2b,IsotypeCtrl",0.025651162,0.014965066,0.9795355774302985,0.9795355774302985
100,ADT.CD209_CD299,-0.02693372,0.036061566,0.9785125978106521,0.9795355774302985
101,ADT.TCR.Va24.Ja18,-0.045317054,0.02375596,0.9638545939935979,0.9746039017333034
102,ADT.CD11b,-0.06070775,0.044863712,0.9515919578194577,0.9657948228615392
103,"RatIgG2c,IsotypeCtrl",-0.06241783,-0.09599117,0.9502300966899321,0.9657948228615392
104,ADT.CD354,-0.13167597,0.0013133946,0.8952405937429372,0.9258762034147487
105,HamIgGIsotypeCtrl,-0.18212326,-0.08290536,0.8554859981461708,0.8912739803018819
106,ADT.CD340,-0.20691939,-0.008693455,0.8360728207912576,0.8780378658502782
107,ADT.CD158,-0.21931744,-0.046184134,0.8264027756433071,0.8712463371123238
108,ADT.CD1d,-0.2907132,-0.0012964392,0.7712706914407994,0.8291922058177764
109,ADT.CD203c,-0.3240597,-0.13342924,0.7458928438123074,0.8115314140677905
110,ADT.CLEC5A,-0.3599713,0.077915445,0.7188685822694865,0.7916285602319851
111,ADT.CD32,-0.40528837,-0.122219175,0.685265552085671,0.7639025826528791
112,ADT.CD218a,-0.4262368,-0.08984715,0.66993528836172,0.7529851174974704
113,ADT.CD244,-0.44932288,0.09866975,0.653198762811767,0.7372201804348574
114,ADT.CD284,-0.46898875,-0.018461253,0.6390776697845402,0.7273185195874264
115,ADT.CD307d,-0.47155386,0.0064397,0.6372452549296873,0.7273185195874264
116,ADT.CD137L,-0.47582906,-0.07747374,0.6341961573027058,0.7273185195874264
117,ADT.CD307e,-0.5805713,-0.0555692,0.5615294070305343,0.6676542439853327
118,"MouseIgG2a,isotypeCtrl",-0.5899767,-0.08420935,0.5552062401309257,0.6676542439853327
119,ADT.CD49a,-0.61007017,-0.07315705,0.5418153349911872,0.6549945383004574
120,ADT.CD158e1,-0.63871396,-0.1760676,0.5230090328766277,0.6350823970644766
121,ADT.CD106,-0.6549597,0.0023675798,0.5124937068256141,0.6279202173719236
122,ADT.CD181,-0.66693026,-0.10146815,0.5048166978364726,0.6213128588756587
