,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
1260,GO_Biological_Process_2025,Positive Regulation of Cell Cycle Process (GO:0090068),2/119,0.4394909146829323,0.5443382007339068,0,0,1.3532533774469258,1.1125613419013274,RGCC;EREG
1261,GO_Biological_Process_2025,Regulation of Cyclin-Dependent Protein Serine/Threonine Kinase Activity (GO:0000079),1/46,0.4396977573082927,0.5443382007339068,0,0,1.7585899152164213,1.4449765367045844,RGCC
1262,GO_Biological_Process_2025,Regulation of Interleukin-10 Production (GO:0032653),1/46,0.4396977573082927,0.5443382007339068,0,0,1.7585899152164213,1.4449765367045844,PYCARD
1263,GO_Biological_Process_2025,- Reg of Phosphatidylinositol 3-Kinase/Prot Kinase B Signal Transduction (GO:0051898),1/46,0.4396977573082927,0.5443382007339068,0,0,1.7585899152164213,1.4449765367045844,RACK1
1264,GO_Biological_Process_2025,Negative Regulation of Protein Serine/Threonine Kinase Activity (GO:0071901),1/46,0.4396977573082927,0.5443382007339068,0,0,1.7585899152164213,1.4449765367045844,PYCARD
1265,GO_Biological_Process_2025,Positive Regulation of Chemotaxis (GO:0050921),1/46,0.4396977573082927,0.5443382007339068,0,0,1.7585899152164213,1.4449765367045844,HSPB1
1266,GO_Biological_Process_2025,Positive Regulation of Nucleocytoplasmic Transport (GO:0046824),1/46,0.4396977573082927,0.5443382007339068,0,0,1.7585899152164213,1.4449765367045844,FLNA
1267,GO_Biological_Process_2025,Protein Localization to Cilium (GO:0061512),1/46,0.4396977573082927,0.5443382007339068,0,0,1.7585899152164213,1.4449765367045844,RAB11FIP3
1268,GO_Biological_Process_2025,Regulation of Cell-Cell Adhesion (GO:0022407),1/46,0.4396977573082927,0.5443382007339068,0,0,1.7585899152164213,1.4449765367045844,CITED2
1269,GO_Biological_Process_2025,Endomembrane System Organization (GO:0010256),3/196,0.4445909645303754,0.5474207914490289,0,0,1.230748253655262,0.9976452732954536,SRGN;SYNGR1;SERP1
1270,GO_Biological_Process_2025,Regulation of Endothelial Cell Apoptotic Process (GO:2000351),1/47,0.4467176668603787,0.5474207914490289,0,0,1.7202723939235205,1.3862445256856577,RGCC
1271,GO_Biological_Process_2025,Regulation of mRNA Catabolic Process (GO:0061013),1/47,0.4467176668603787,0.5474207914490289,0,0,1.7202723939235205,1.3862445256856577,APEX1
1272,GO_Biological_Process_2025,Cellular Defense Response (GO:0006968),1/47,0.4467176668603787,0.5474207914490289,0,0,1.7202723939235205,1.3862445256856577,MNDA
1273,GO_Biological_Process_2025,Cellular Response to Type II Interferon (GO:0071346),1/47,0.4467176668603787,0.5474207914490289,0,0,1.7202723939235205,1.3862445256856577,RNASE3
1274,GO_Biological_Process_2025,Stem Cell Differentiation (GO:0048863),1/47,0.4467176668603787,0.5474207914490289,0,0,1.7202723939235205,1.3862445256856577,JARID2
1275,GO_Biological_Process_2025,Mitotic Nuclear Division (GO:0140014),1/47,0.4467176668603787,0.5474207914490289,0,0,1.7202723939235205,1.3862445256856577,CTDP1
1276,GO_Biological_Process_2025,Mitotic Spindle Assembly (GO:0090307),1/47,0.4467176668603787,0.5474207914490289,0,0,1.7202723939235205,1.3862445256856577,FLNA
1277,GO_Biological_Process_2025,Monoatomic Anion Transport (GO:0006820),1/47,0.4467176668603787,0.5474207914490289,0,0,1.7202723939235205,1.3862445256856577,TSPO
1278,GO_Biological_Process_2025,Positive Regulation of T Cell Mediated Immunity (GO:0002711),1/47,0.4467176668603787,0.5474207914490289,0,0,1.7202723939235205,1.3862445256856577,HLA-A
